; Zeus eventmsg.zh-CN.txt (UTF-8)
;REASON PHRASES FOR AUTOMATICALLY TRIGGERED EVENTS

	;Provocation (HIGH BENEVOLENCE/HOSTILITY)
PHRASE_really_benevolent		"由于[leader_name]真的非常喜欢你，"
PHRASE_rescue_cash_postponed 					"你选择延迟接受[city_name]的财政援助。"
PHRASE_rescue_cash_refused 						"我本来以为你会欣然接受我小小的财政援助的，不过看上去你并不需要。既然你拒绝接受，我要把[amount]带回家去了。"
PHRASE_rescue_cash_accepted_reason  	 		"由于你接受了[city_name]的财政援助，"
PHRASE_rescue_cash_forfeited_reason  	 		"由于你放弃了[city_name]的财政援助，"
PHRASE_rescue_cash_refused_reason  	 			"由于你拒绝接受[city_name]的财政援助，"
PHRASE_rescue_cash_no_reason  					""

PHRASE_CONDENSED_rescue_cash_title 						""
PHRASE_CONDENSED_rescue_cash_granted					"[city_name]送来[amount]银币财政援助。"
PHRASE_CONDENSED_rescue_cash_cash_granted				"[city_name]送来[amount]银币财政援助。"
PHRASE_CONDENSED_rescue_cash_partial_space				""
PHRASE_CONDENSED_rescue_cash_insufficient_space 		""
PHRASE_CONDENSED_rescue_cash_last_chance 				""
PHRASE_CONDENSED_rescue_cash_forfeited 					""
PHRASE_CONDENSED_rescue_cash_accepted 					"[amount]银币已经放入你的金库。"
PHRASE_CONDENSED_rescue_cash_cash_accepted 				"[amount]银币已经放入你的金库。"
PHRASE_CONDENSED_rescue_cash_postponed 					"[city_name]的财政援助延迟一个月。"
PHRASE_CONDENSED_rescue_cash_refused 					"[city_name]的财政援助被拒绝。"
PHRASE_CONDENSED_rescue_cash_accepted_reason  	 		"由于你接受了[city_name]的财政援助"
PHRASE_CONDENSED_rescue_cash_forfeited_reason  	 		"由于你放弃了[city_name]的财政援助"
PHRASE_CONDENSED_rescue_cash_refused_reason  	 			"由于你拒绝了[city_name]的财政援助"
PHRASE_CONDENSED_rescue_cash_no_reason  					""




;*******************************************INVASIONS****************************************
;********Invasion****************************************
PHRASE_invasion_title 					"[city_name]发动进攻！"
PHRASE_invasion_oracle_prediction		"[greeting][player_name]。先知们预见到[city_name]的[a_foreign_army]将在一年之内向你发动进攻。"
PHRASE_invasion_initial_announcement	"大事不好，[player_name]。[reason_phrase][leader_name]，[city_name]的执政官已经派[a_foreign_army]朝我们这里过来了，他们将在[time_until_attack]个月内杀到这里。"
PHRASE_invasion_2year_reminder 			"当心了，[player_name]。, 来自[city_name]的[a_foreign_army]越来越接近我们的城市了。他们将在两年之内到达这里。"
PHRASE_invasion_1year_reminder 			"[greeting][player_name]。[city_name]的[a_foreign_army]将在一年之内到达我们这里。"
PHRASE_invasion_6month_warning 			"[greeting][player_name]。再过短短的六个月，[city_name]的[a_foreign_army]就要进攻我们城市了。赶快准备吧！"
PHRASE_invasion_1month_Warning 			"[greeting][player_name]。已经没有时间准备了。[reason_phrase][city_name]的[a_foreign_army]一个月内就要攻到这里了。"
PHRASE_invasion_city_attacked_alert  	"[greeting][player_name]。[city_name]的[a_foreign_army]到达城外，想要摧毁我们的城市。"
PHRASE_invasion_reason  	 	 		"由于你的城市遭到[city_name]的[a_foreign_army]进攻，"
PHRASE_invasion_no_reason	  	 		"由于他们想占领更多的土地，"
PHRASE_invasion_disembarked_alert  	    "[greeting][player_name]。[city_name]的[a_foreign_army]已经在我们的岸边登陆，准备发起进攻了。但愿你的士兵能有阿瑞斯的力量，将敌人击退。"
PHRASE_invasion_1month_Warning_AC		"[greeting][player_name]。已经没有时间准备了。[city_name]的[a_foreign_army]一个月内就要进攻你了。你训练有素的士兵们正在等待你的命令。"

PHRASE_CONDENSED_invasion_title 					"N/A"
PHRASE_CONDENSED_invasion_oracle_prediction		"先知们预见到[a_foreign_army]将在一年内进攻你的城市。"
PHRASE_CONDENSED_invasion_initial_announcement	"[a_foreign_army]将在[time_until_attack]个月内进攻你的城市。"
PHRASE_CONDENSED_invasion_2year_reminder 			"[a_foreign_army]将在两年内进攻你的城市。"
PHRASE_CONDENSED_invasion_1year_reminder 			"[a_foreign_army]将在一年内进攻你的城市。"
PHRASE_CONDENSED_invasion_6month_warning 			"[a_foreign_army]将在六个月内进攻你的城市。"
PHRASE_CONDENSED_invasion_1month_Warning 			"[a_foreign_army]将在一个月内进攻你的城市。"
PHRASE_CONDENSED_invasion_city_attacked_alert  	"[a_foreign_army]已经踏在了我们的土地上！"
PHRASE_CONDENSED_invasion_reason  	 	 		"由于[a_foreign_army]进攻了你"
PHRASE_CONDENSED_invasion_no_reason  	 		""
PHRASE_CONDENSED_invasion_disembarked_alert  	    "[a_foreign_army]已经登陆，正在进攻城市！"
PHRASE_CONDENSED_invasion_1month_Warning_AC		"你的士兵们静候[a_foreign_army]一个月后的到来。"

;********************************CITY AND WORLD STATUS CHANGES************************************
; 'trade suspended' and 'trade resumed' are only triggered by provocation.  Reason phrase may be embedded directly in text.
;*****Trade suspended**********************************
PHRASE_trade_suspended_title 					"[city_name]断绝与你的贸易关系"
PHRASE_trade_suspended_initial_announcement    "你让我恶心，[player_name]。我，[city_name]的执政官[leader_name]，再也不想和你有贸易往来了。"
PHRASE_trade_suspended_no_reason	  			"N/A"

PHRASE_CONDENSED_trade_suspended_title 					"N/A"
PHRASE_CONDENSED_trade_suspended_initial_announcement    "与[city_name]的贸易关系中断。"
PHRASE_CONDENSED_trade_suspended_no_reason	  			"N/A"

;*****Trade resumed**********************************
PHRASE_trade_resumed_title 						"与[city_name]的贸易关系恢复"
PHRASE_trade_resumed_initial_announcement		"嗯，[player_name]。虽然你过去做的一些事情让我不甚满意，但是我，[city_name]的执政官[leader_name]，还是决定继续与你的贸易。"
PHRASE_trade_resumed_no_reason	  				"N/A"s

PHRASE_CONDENSED_trade_resumed_title 						"N/A"
PHRASE_CONDENSED_trade_resumed_initial_announcement		"与[city_name]的贸易关系恢复。"
PHRASE_CONDENSED_trade_resumed_no_reason	  				"N/A"

;*****Trade Shuts Down**********************************
PHRASE_trade_shuts_down_title 					"与[city_name]的贸易关系中断"
PHRASE_trade_shuts_down_oracle_prediction	    "我，神谕所的女祭司，有一件事要告诉你，[player_name]：我预见到你与[city_name]的贸易关系将在一年内中断。"
PHRASE_trade_shuts_down_initial_announcement    "你好，[player_name]。我，[city_name]的执政官[leader_name]，很遗憾地告诉你我无法再与你维持贸易关系了。我向你保证这件事情不是因为你的原因。"
PHRASE_trade_shuts_down_no_reason	  			"N/A"

PHRASE_CONDENSED_trade_shuts_down_title 					"N/A"
PHRASE_CONDENSED_trade_shuts_down_oracle_prediction	    "先知们预见到与[city_name]的贸易将会中断。"
PHRASE_CONDENSED_trade_shuts_down_initial_announcement    "与[city_name]的贸易已经中断。"                   
PHRASE_CONDENSED_trade_shuts_down_no_reason	  			"N/A"

;*****Trade opens up**********************************
PHRASE_trade_opens_up_title 						"与[city_name]的贸易通道打开"
PHRASE_trade_opens_up_oracle_prediction			"我，神谕所智慧的先知，预见到[city_name]的执政官[leader_name]，将在一年时间内向你打开贸易通道。"
PHRASE_trade_opens_up_initial_announcement		"你好，[player_name]。我，[city_name]的执政官[leader_name]，建议我们开始贸易往来。这对我们都会有好处的。"
PHRASE_trade_opens_up_no_reason	  				"N/A"

PHRASE_CONDENSED_trade_opens_up_title 						"N/A"
PHRASE_CONDENSED_trade_opens_up_oracle_prediction			"先知们预见到[city_name]将与你开通贸易往来。"
PHRASE_CONDENSED_trade_opens_up_initial_announcement		"[city_name]现在可以与你进行贸易了。"
PHRASE_CONDENSED_trade_opens_up_no_reason	  				"N/A"

;for the following increase/decrease events, 
; _I = Increase
; _D = Decrease

;*****Demand Changes**************************
PHRASE_demand_change_title_I 					"[city_name]增加[itemshort]的进口"
PHRASE_demand_change_oracle_prediction_I 		"我是神谕所的女祭司，我预见到了未来的事情！[city_name]的执政官[leader_name]将从你这里进口更多的[item]！"
PHRASE_demand_change_initial_announcement_I 	"你好，[player_name]。我，[city_name]的执政官[leader_name]，想再从你的城市进口一些[item]。我城里的需求实在太大了！"
PHRASE_demand_change_no_reason_I	  ""

PHRASE_CONDENSED_demand_change_title_I 					"N/A"
PHRASE_CONDENSED_demand_change_oracle_prediction_I 		"先知们预见到[city_name]将从你这里进口更多的[itemshort]。"
PHRASE_CONDENSED_demand_change_initial_announcement_I 	"[city_name]现在想从你这里进口更多的[itemshort]。"
PHRASE_CONDENSED_demand_change_no_reason_I	  ""

PHRASE_demand_change_title_D 					"[city_name]减少[itemshort]的进口"
PHRASE_demand_change_oracle_prediction_D 		"我，神谕所的先知，想告诉你[city_name]不再需要那么多[item]了。他们将减少从你这里进口的数量。"
PHRASE_demand_change_initial_announcement_D 	"事情有变化了，[player_name]。我，[city_name]的执政官[leader_name]，决定减少从你这里进口[item]的数量。我的城市已经没有以前那么大的需求了。"
PHRASE_demand_change_no_reason_D	  ""

PHRASE_CONDENSED_demand_change_title_D 					"N/A"
PHRASE_CONDENSED_demand_change_oracle_prediction_D 		"先知们预见到[city_name]将减少[itemshort]的进口。"
PHRASE_CONDENSED_demand_change_initial_announcement_D 	"[city_name]减少了[itemshort]的进口。"
PHRASE_CONDENSED_demand_change_no_reason_D	  ""

PHRASE_supply_change_title_I 					"[city_name]增加[itemshort]的出口"
PHRASE_supply_change_oracle_prediction_I 	    "我，神谕所的女祭司，从诸神那里听说[city_name]很快将向你增加[item]的出口。"
PHRASE_supply_change_initial_announcement_I 	"你好，[player_name]。我，[city_name]的执政官[leader_name]，很高兴地告诉你，我们已经可以向你增加[item]的出口量了！"
PHRASE_supply_change_no_reason_I	  ""

PHRASE_CONDENSED_supply_change_title_I 					"N/A"
PHRASE_CONDENSED_supply_change_oracle_prediction_I 	    "先知们预见到[city_name]将增加[itemshort]的出口。"
PHRASE_CONDENSED_supply_change_initial_announcement_I 	"[city_name]现在将增加[itemshort]的出口量。"
PHRASE_CONDENSED_supply_change_no_reason_I				  ""

PHRASE_supply_change_title_D 					"[city_name]减少[itemshort]的出口"
PHRASE_supply_change_oracle_prediction_D 		"我，神谕所的女祭司，预见到在一年之内[city_name]的[leader_name]将减少出口给你的[item]的数量。"
PHRASE_supply_change_initial_announcement_D 	"你好，[player_name]。我，[city_name]的执政官[leader_name]，必须减少出口给你的[item]的数量。我自己的城市现在需求也很大。"
PHRASE_supply_change_no_reason_D				  ""

PHRASE_CONDENSED_supply_change_title_D 					"N/A"
PHRASE_CONDENSED_supply_change_oracle_prediction_D 		"先知们预见到[city_name]将减少[item]的出口。"
PHRASE_CONDENSED_supply_change_initial_announcement_D 	"[city_name]将减少[item]的出口。"
PHRASE_CONDENSED_supply_change_no_reason_D	            ""

;******Price Changes**************************************
PHRASE_price_change_title_I 					"[itemshort]的价格上涨"
PHRASE_price_change_oracle_prediction_I			"我，神谕所伟大的女祭司，预见到[itemshort]的价格将在一年内上涨。进口这种货物将耗费更多的钱，[player_name]，但是出口这种货物则有很高的利润。"
PHRASE_price_change_initial_announcement_I		"哦，伟大的[player_name]，由于全希腊[itemshort]的供应都不足，故[itemshort]的价格如上所示有所上涨。进口这种货物将耗费更多的钱，但是出口这种货物则有很高的利润。"
PHRASE_price_change_no_reason_I		   			""

PHRASE_CONDENSED_price_change_title_I 					"N/A"
PHRASE_CONDENSED_price_change_oracle_prediction_I			"先知们预见到[itemshort]的价格将上涨。"
PHRASE_CONDENSED_price_change_initial_announcement_I		"[itemshort]的价格已经上涨。"
PHRASE_CONDENSED_price_change_no_reason_I		   			""

PHRASE_price_change_title_D 					"[itemshort]的价格下跌"
PHRASE_price_change_oracle_prediction_D			"你好，[player_name]。我，神谕所的女祭司，预见到贸易方面的一点小变化。一年之内，[itemshort]的供应将会过剩，从而导致它价格有所下跌。这会使出口贸易有所损失，但对进口城则有利。"
PHRASE_price_change_initial_announcement_D		"最尊敬的[player_name]，由于全希腊都货源充足，[itemshort]的价格如上所示有所下跌。这将减少出口城的利益，但对进口城则有利。"
PHRASE_price_change_no_reason_D  				""

PHRASE_CONDENSED_price_change_title_D 					"N/A"
PHRASE_CONDENSED_price_change_oracle_prediction_D			"先知们预见到[itemshort]的价格将下跌。"
PHRASE_CONDENSED_price_change_initial_announcement_D		"[itemshort]的价格已经下跌。"
PHRASE_CONDENSED_price_change_no_reason_D  				""

;*****Wage change**************************************
PHRASE_wage_change_title_I 					"工资的期望值改变"
PHRASE_wage_change_oracle_prediction_I 		"[player_name]。我，神谕所无所不知的女祭司，预见到人们对工资的期望值将有所改变。人们会希望得到更高的报酬。"
PHRASE_wage_change_initial_announcement_I 	"最尊敬的[player_name]，你城里的生活费用上升了，人们为了保证生活质量希望得到更高的工资。"
PHRASE_wage_change_no_reason_I_C	  		"N/A"

PHRASE_CONDENSED_wage_change_title_I 					"N/A"
PHRASE_CONDENSED_wage_change_oracle_prediction_I 		"先知们预见到人们希望得到更高的工资。"
PHRASE_CONDENSED_wage_change_initial_announcement_I 	"人们希望得到更高的工资。"
PHRASE_CONDENSED_wage_change_no_reason_I_C	  		"N/A"

PHRASE_wage_change_title_D 					"工资的期望值改变"
PHRASE_wage_change_oracle_prediction_D 		"诸神将下面这件事情告诉了我，神谕所的女祭司。他们说一年之内人们会突然愿意拿更少的工资干更多的活，[player_name]。"
PHRASE_wage_change_initial_announcement_D 	"你好，我的执政官[player_name]，不知由于什么原因，人们突然愿意拿更少的工资了。全希腊的工资都下降了。"
PHRASE_wage_change_no_reason_D_C	  		"N/A"

PHRASE_CONDENSED_wage_change_title_D 					"N/A"
PHRASE_CONDENSED_wage_change_oracle_prediction_D 		"先知们预见到全希腊的工资都将下降。"
PHRASE_CONDENSED_wage_change_initial_announcement_D 	"希腊的工资已经下降。"
PHRASE_CONDENSED_wage_change_no_reason_D_C	  		"N/A"

; 'tribute suspended' and 'tribute resumed' are only triggered by provocation.  Reason may be embedded directly in text.
;*****Tribute suspended**********************************
PHRASE_tribute_suspended_title 					"[city_name]拒绝进贡"
PHRASE_tribute_suspended_initial_announcement    "也许这里是你的殖民地，[player_name]，但我决不允许你把我当成一条狗一样！我，[city_name]的执政官[leader_name]，拒绝向你进贡，除非你改变对我的态度！"
PHRASE_tribute_suspended_no_reason	  			"N/A"

PHRASE_CONDENSED_tribute_suspended_title 					"N/A"
PHRASE_CONDENSED_tribute_suspended_initial_announcement    "[city_name]已经停止了进贡。"
PHRASE_CONDENSED_tribute_suspended_no_reason	  			"N/A"

;*****Tribute resumed**********************************
PHRASE_tribute_resumed_title 						"[city_name]恢复进贡"
PHRASE_tribute_resumed_initial_announcement		"你好，[player_name]。虽然你对我的态度有一段时间很恶劣，但是我，[city_name]的执政官[leader_name]，还是决定履行自己的义务，恢复向你进贡。"
PHRASE_tribute_resumed_no_reason	  				"N/A"

PHRASE_CONDENSED_tribute_resumed_title 						"N/A"
PHRASE_CONDENSED_tribute_resumed_initial_announcement		"[city_name]已经恢复了进贡。"
PHRASE_CONDENSED_tribute_resumed_no_reason	  				"N/A"

;*****Rebellion**********************************
PHRASE_rebellion_tribute_suspended_title 					"[city_name]反叛！"
PHRASE_rebellion_tribute_suspended_initial_announcement    "我已经受够你了，[player_name]。我，[city_name]的执政官[leader_name]，决定不再做你的附庸！你可以把进贡的事情给忘了，另外，我也不会再与你进行贸易了！"
PHRASE_rebellion_tribute_suspended_no_reason	  			"N/A"

PHRASE_CONDENSED_rebellion_tribute_suspended_title 					"N/A"
PHRASE_CONDENSED_rebellion_tribute_suspended_initial_announcement    "[city_name]已经反叛，并停止了进贡。"
PHRASE_CONDENSED_rebellion_tribute_suspended_no_reason	  			"N/A"

;*****Rebellion Quelled**********************************
PHRASE_rebellion_quelled_tribute_resumed_title 						"[city_name]的反叛被镇压"
PHRASE_rebellion_quelled_tribute_resumed_initial_announcement		"最宽宏大量的[player_name]。我，卑微的[city_name]的执政官[leader_name]，向您致敬。你强大的部队告诉了我反叛您是一件多么愚蠢的事情。从现在起我将是您最忠心的附庸城，我将继续向您进贡并恢复贸易关系。"
PHRASE_rebellion_quelled_tribute_resumed_no_reason	  				"N/A"

PHRASE_CONDENSED_rebellion_quelled_tribute_resumed_title 						"N/A"
PHRASE_CONDENSED_rebellion_quelled_tribute_resumed_initial_announcement		"你镇压了[city_name]的反叛。"
PHRASE_CONDENSED_rebellion_quelled_tribute_resumed_no_reason	  				"N/A"

;*****Rebellion Over**********************************
PHRASE_rebellion_over_tribute_resumed_title 						"[city_name]结束反叛"
PHRASE_rebellion_over_tribute_resumed_oracle_prediction		"我，神谕所的女祭司，预见到你的殖民地[city_name]将在一年之内结束反叛，重新成为你的领地。同时他们将恢复进贡和贸易。"
PHRASE_rebellion_over_tribute_resumed_initial_announcement		"请原谅我，[player_name]。我，[city_name]的执政官[leader_name]，现在意识到自己以前做的事情是多么愚蠢。反叛您是一个绝对的错误，我愿意重新成为你的领地。我很高兴向您进贡，并希望早日与您恢复贸易往来。"
PHRASE_rebellion_over_tribute_resumed_no_reason	  				"N/A"

PHRASE_CONDENSED_rebellion_over_tribute_resumed_title 						"N/A"
PHRASE_CONDENSED_rebellion_over_tribute_resumed_oracle_prediction		"先知们预见到[city_name]将在一年内结束反叛。"
PHRASE_CONDENSED_rebellion_over_tribute_resumed_initial_announcement		"[city_name]结束了反叛。"
PHRASE_CONDENSED_rebellion_over_tribute_resumed_no_reason	  				"N/A"

;*****Military Buildup**********************************
PHRASE_military_change_title_I 						"[city_name]的军事力量增强"
PHRASE_military_change_oracle_prediction_I			"我，神谕所的女祭司，看到了未来的事情，[player_name]。一年之内，[city_name]的军事力量将增强！"
PHRASE_military_change_initial_announcement_I		"哦，伟大的[player_name]，我们的间谍从海外带来了机密消息。[city_name]的执政官[leader_name]已经增强了他的军事力量。没有人知道他意欲何为，但是我们最好保持警惕。"
PHRASE_military_change_no_reason_I	  				"N/A"

PHRASE_CONDENSED_military_change_title_I 						"N/A"
PHRASE_CONDENSED_military_change_oracle_prediction_I			"先知们预见到[city_name]的军事力量将增强。"
PHRASE_CONDENSED_military_change_initial_announcement_I		"[city_name]的军事力量已经增强。"
PHRASE_CONDENSED_military_change_no_reason_I	  				"N/A"

;*****Military Decline**********************************
PHRASE_military_change_title_D 						"[city_name]的军事力量下降"
PHRASE_military_change_oracle_prediction_D			"注意了，[player_name]。我，神谕所的先知，预见到一年之内，[city_name]的军事力量将严重下降。"
PHRASE_military_change_initial_announcement_D		"最尊敬的[player_name]，我们的间谍带来了一个有趣的消息。[city_name]的执政官[leader_name]将他大部分的士兵都解散了，这使该城的军事力量严重下降。"
PHRASE_military_change_no_reason_D	  				"N/A"

PHRASE_CONDENSED_military_change_title_D 						"N/A"
PHRASE_CONDENSED_military_change_oracle_prediction_D			"先知们预见到[city_name]将解散其士兵。"
PHRASE_CONDENSED_military_change_initial_announcement_D		"[city_name]的军事力量已经下降。"
PHRASE_CONDENSED_military_change_no_reason_D	  				"N/A"

;*****Economic Prosperity**********************************
PHRASE_economic_change_title_I 						"[city_name]的经济实力增强"
PHRASE_economic_change_oracle_prediction_I			"尊敬的[player_name]，我是神谕所的女祭司！听我说，一年之内，[city_name]的经济将变得繁荣起来。"
PHRASE_economic_change_initial_announcement_I		"最尊敬的[leader_name]，从海外传来消息说，[leader_name]领导下的[city_name]经济实力迅速增长，城里工业的生产力大大增强。"
PHRASE_economic_change_no_reason_I	  				"N/A"

PHRASE_CONDENSED_economic_change_title_I 						"N/A"
PHRASE_CONDENSED_economic_change_oracle_prediction_I			"先知们预见到[city_name]的经济实力将在一年之内增强。"
PHRASE_CONDENSED_economic_change_initial_announcement_I		"[city_name]的经济实力已经增强。"
PHRASE_CONDENSED_economic_change_no_reason_I	  				"N/A"

;*****Economic Decline**********************************
PHRASE_economic_change_title_D 						"[city_name]的经济实力衰落"
PHRASE_economic_change_oracle_prediction_D			"你好，[player_name]。我，神谕所的先知，预见到一年之内[city_name]的发展将遇到阻碍，其经济实力将衰落。"
PHRASE_economic_change_initial_announcement_D		"最尊敬的[leader_name]，有消息说[city_name]的发展遇到了阻碍，工业纷纷倒闭，其经济实力有所衰落。"
PHRASE_economic_change_no_reason_D	  				"N/A"

PHRASE_CONDENSED_economic_change_title_D 						"N/A"
PHRASE_CONDENSED_economic_change_oracle_prediction_D			"先知们预见到[city_name]的经济实力将衰落。"
PHRASE_CONDENSED_economic_change_initial_announcement_D		"[city_name]的经济实力已经衰落。"
PHRASE_CONDENSED_economic_change_no_reason_D	  				"N/A"

;*******Increased Favor***************************** 
PHRASE_favor_change_title_I 					"[city_name]更加欣赏你"
PHRASE_favor_change_initial_announcement_I 	"[reason_phrase]我，[city_name]的执政官[leader_name]，比以前更欣赏你了。"
PHRASE_favor_change_no_reason_I	  			"N/A"

PHRASE_CONDENSED_favor_change_title_I 					"N/A"
PHRASE_CONDENSED_favor_change_initial_announcement_I 	"[city_name]更加欣赏你了。"
PHRASE_CONDENSED_favor_change_no_reason_I	  			"N/A"

;*******Decreased Favor*****************************
PHRASE_favor_change_title_D 					"[city_name]不再那么欣赏你"
PHRASE_favor_change_initial_announcement_D 	"[reason_phrase]我，[city_name]的执政官[leader_name]，不再像以前那么欣赏你了。"
PHRASE_favor_change_no_reason_D	  			"N/A"

PHRASE_CONDENSED_favor_change_title_D 					"N/A"
PHRASE_CONDENSED_favor_change_initial_announcement_D 	"[reason_phrase][city_name]不再那么欣赏你了。"
PHRASE_CONDENSED_favor_change_no_reason_D	  			"N/A"

;********Attack Averted*****************
PHRASE_attack_averted_title 					"[city_name]危机解除"
PHRASE_attack_averted_initial_announcement 		"我们胜利了，[player_name]！由于你的部队提前到达，与我的部队一同巩固了防御，敌人被吓跑了！我，[leader_name]，十分感激你，对你更加欣赏了！"
PHRASE_attack_averted_no_reason	  			"N/A"

PHRASE_CONDENSED_attack_averted_title 					"N/A"
PHRASE_CONDENSED_attack_averted_initial_announcement 		"[city_name]由于危机解除，对你更加欣赏了。"
PHRASE_CONDENSED_attack_averted_no_reason	  			"N/A"

;********Allies hate you************************
PHRASE_allies_hate_you_title 					"同盟痛恨你"
PHRASE_allies_hate_you_initial_announcement 	"你好，[player_name]。由于你进攻了你的一个同盟，你所有的同盟现在都不再信任你了。"
PHRASE_allies_hate_you_no_reason	  			"N/A"

PHRASE_CONDENSED_allies_hate_you_title 					"N/A"
PHRASE_CONDENSED_allies_hate_you_initial_announcement 	"你背叛了你的同盟。"
PHRASE_CONDENSED_allies_hate_you_no_reason	  			"N/A"

;********Becomes ally****************************
PHRASE_becomes_ally_title 					"[city_name]变成同盟城"
PHRASE_becomes_ally_initial_announcement 	"你好，[player_name]！我，[city_name]的执政官[leader_name]，决定与你结成同盟。为了让大家都记住这个日子，我送了一座纪念碑给你，你可以把它放在你的城里。"
PHRASE_becomes_ally_no_reason	  			"N/A"

PHRASE_CONDENSED_becomes_ally_title 					"N/A"
PHRASE_CONDENSED_becomes_ally_initial_announcement 	"[city_name]成为同盟城。可建造新的纪念碑。"
PHRASE_CONDENSED_becomes_ally_no_reason	  			"N/A"

;********Becomes rival****************************
PHRASE_becomes_rival_title 					"[city_name]变成敌对城"
PHRASE_becomes_rival_initial_announcement 	"我不想再理你了，[player_name]。我，[city_name]的执政官[leader_name]，觉得做你的同盟不如做你的敌人来得有利。所以下次我们再见的时候，我保证你不会愉快的！"
PHRASE_becomes_rival_no_reason	  			"N/A"

PHRASE_CONDENSED_becomes_rival_title 					"N/A"
PHRASE_CONDENSED_becomes_rival_initial_announcement 	"[city_name]变成敌对城！"
PHRASE_CONDENSED_becomes_rival_no_reason	  			"N/A"

;********Becomes vassal****************************
PHRASE_becomes_vassal_title 					"[city_name]成为附庸城"
PHRASE_becomes_vassal_initial_announcement 	"最英勇的[player_name]。我，[city_name]的执政官[leader_name]，愿意将我所有的人民置于您的统治之下。我们愿意为您尽犬马之劳！"
PHRASE_becomes_vassal_no_reason	  			"N/A"

PHRASE_CONDENSED_becomes_vassal_title 					"N/A"
PHRASE_CONDENSED_becomes_vassal_initial_announcement 	"[city_name]成为你的附庸城。"
PHRASE_CONDENSED_becomes_vassal_no_reason	  			"N/A"

;********Swears Fealty****************************
PHRASE_swears_fealty_title 					"[city_name]宣誓效忠"
PHRASE_swears_fealty_initial_announcement 	"最尊敬的[player_name]。我，[city_name]的执政官[leader_name]，后悔当初愚蠢的行为。现在我宣誓效忠于您，愿为您尽犬马之劳。"
PHRASE_swears_fealty_no_reason	  			"N/A"

PHRASE_CONDENSED_swears_fealty_title 					"N/A"
PHRASE_CONDENSED_swears_fealty_initial_announcement 	"[city_name]向你宣誓效忠，成为你的附庸城。"
PHRASE_CONDENSED_swears_fealty_no_reason	  			"N/A"

;********Player's City Conquered THIS IS NOT USED, ENEMY_VICTORIOUS REPLACES IT ****************************
PHRASE_players_city_conquered_title 					"你的城市被征服"
PHRASE_players_city_conquered_initial_announcement 	"[greeting][player_name]，你和你的人民太不幸了！你的军队被击败，你的城市被征服了！我们现在成了敌人的附庸，必须每年向他们进贡贡品！你的城市该怎么熬过这一段艰难的日子啊？"
PHRASE_players_city_conquered_no_reason	  			"N/A"

PHRASE_CONDENSED_players_city_conquered_title 					"N/A"
PHRASE_CONDENSED_players_city_conquered_initial_announcement 	"你的城市被征服了。"
PHRASE_CONDENSED_players_city_conquered_no_reason	  			"N/A"

;********City conquered by player****************************
PHRASE_city_conquered_by_player_title 					"你征服了[city_name]！"
PHRASE_city_conquered_by_player_initial_announcement 	"最威武的[player_name]，我们的部队在[city_name]打了胜仗，他们的执政官[leader_name]不得不投降。[city_name]现在是我们的了。为了庆祝这一战果，你可以在城里建造一座纪念碑！"
PHRASE_city_conquered_by_player_no_reason	  			"N/A"

PHRASE_CONDENSED_city_conquered_by_player_title 					"N/A"
PHRASE_CONDENSED_city_conquered_by_player_initial_announcement 	"[city_name]被征服。可建造新的纪念碑。"
PHRASE_CONDENSED_city_conquered_by_player_no_reason	  			"N/A"

;********Ally conquers rival****************************
PHRASE_ally_conquers_rival_title 					"[city_name]征服了[rival_city_name]！"
PHRASE_ally_conquers_rival_initial_announcement 	"这是一个值得庆祝的日子，[player_name]。我，[city_name]的执政官[leader_name]，很高兴地向你宣布我的军队击败了我们的[rival_nationality]敌人，[rival_city_name]。因此，[rival_city_name]现在成为了我们的同盟！"
PHRASE_ally_conquers_rival_no_reason	  			"N/A"

PHRASE_CONDENSED_ally_conquers_rival_title 					"N/A"
PHRASE_CONDENSED_ally_conquers_rival_initial_announcement 	"我们的同盟[city_name]征服了我们的敌对城市[rival_city_name]。"
PHRASE_CONDENSED_ally_conquers_rival_no_reason	  			"N/A"

;********Vassal conquers rival****************************
PHRASE_vassal_conquers_rival_title 					"[city_name]征服了[rival_city_name]！"
PHRASE_vassal_conquers_rival_initial_announcement 	"太好了，[player_name]！我，[city_name]的执政官[leader_name]，将我们的敌对城市[rival_city_name]征服了。[rival_city_name]在失利后宣誓效忠于你！"
PHRASE_vassal_conquers_rival_no_reason	  			"N/A"

PHRASE_CONDENSED_vassal_conquers_rival_title 					"N/A"
PHRASE_CONDENSED_vassal_conquers_rival_initial_announcement 	"我们的附庸城[city_name]征服了我们的敌对城市[rival_city_name]。"
PHRASE_CONDENSED_vassal_conquers_rival_no_reason	  			"N/A"

;********Ally conquered by rival****************************
PHRASE_ally_conquered_by_rival_title 					"[rival_city_name]征服了[city_name]！"
PHRASE_ally_conquered_by_rival_initial_announcement 	"太不幸了，[player_name]！我们的[rival_nationality]敌人[rival_city_name]将我们最好的一个同盟[city_name]征服了。[rival_city_name]切断了我们和[city_name]之间所有的正常联系，我们无法再与之进行贸易了。"
PHRASE_ally_conquered_by_rival_no_reason	  			"N/A"

PHRASE_CONDENSED_ally_conquered_by_rival_title 					"N/A"
